Name,z,ObsID,mass,mass_e,mass_E,mass_f,NH,NH_low,NH_high,KT,KT_low,KT_high,Tau,Tau_low,Tau_high,Fe line,Fe EW (KeV),chi^2,dof,model,fl_obs_210,fl_obs_2040,fl_int_210,fl_int_2040,fl_refl_210,fl_refl_2040,lum210,lum2040,gamma,theta,yy,gTortosa,ratio_210,ratio_2040
Mrk1310,0.0194,60160465002,6.21,0.07,0.09,1,8.33554E-08,0,0,22.1038,,,4.65,4.21,4.81,6.05608,0.138847,411.832,445,WA*COMPTT+GA+PEX,8.50388E-12,5.98058E-12,8.49638E-12,5.98056E-12,1.39036E-13,9.75248E-13,0.0719191,0.0506199,1.24696304414179,0.043255968688845,5.33229644531692,1.55112218774375,0.016364145671451,0.163069679093597
NGC4051,0.0023,60001050008,6.13,0.12,0.16,1,2.25101,0,0,37.5766,30.1995,46.1935,1.49843,1.23038,1.83637,6.34517,0.0795728,1091.1,1100,WA*COMPTT+GA+PEX,2.92906E-11,1.86057E-11,3.61752E-11,1.86134E-11,2.25638E-12,1.21546E-11,0.00420835,0.00216456,2.10623613874366,0.07353542074364,1.42508918452321,2.07967464590476,0.062373670359805,0.65300267549185
2MASXJ12055599p4959561,0.0631,60061357002,8.42,0,0,2,6.51779E-07,0,0,81.3845,,,1.1,0.74,1.73,6.24916,0.244639,158.863,139,WA*COMPTT+GA+PEX,1.64501E-12,1.64967E-12,1.64359E-12,1.64967E-12,1.48738E-13,9.88647E-13,0.156181,0.155594,1.97827380264219,0.159265166340509,2.40911507000831,1.85065423777753,0.090495804914851,0.599299859971994
NGC4151,0.0033,60001111005,7.56,0.05,0.05,1,7.16298,0,0,38.5302,36.2541,41.1972,3.51105,3.32572,3.68444,6.30027,0.107445,3522.04,2423,WA*COMPTT+GA+PEX,1.80017E-10,2.58939E-10,2.68607E-10,2.59648E-10,1.013E-11,5.48241E-11,0.0643081,0.0621932,1.24839244376762,0.07540156555773,6.21776979635798,1.49906086000794,0.037713090127957,0.211147784693123
Mrk766,0.012,60001048002,6.82,0.05,0.06,1,1.58114,0,0,32.6124,23.9835,42.7056,1.81937,1.40527,2.41163,6.85998,0.0585532,1219.7,1096,WA*COMPTT+GA+PEX,2.16923E-11,1.03328E-11,2.53192E-11,1.03371E-11,1.03352E-12,5.26618E-12,0.0816077,0.0333116,1.90836811759864,0.063820743639922,1.6437531331211,2.01473917318744,0.040819615153717,0.509444621799151
Mrk205,0.0708,60160490002,8.61,0,0,2,0.740091,0,0,49.9285,21.2748,266.931,1.63769,0.22446,3.61498,6.07,0.0988886,367.991,418,WA*COMPTT+GA+PEX,8.53812E-12,4.88411E-12,9.13009E-12,4.88532E-12,3.18015E-13,1.66787E-12,1.11475,0.600317,1.76097414680743,0.097707436399217,2.34810238848431,1.86123390758053,0.034831529590617,0.341404452523069
RBS1125,0.063,60061229002,7.76,0.18,0.22,1,5.20843E-08,0,0,39.61,,,1.78,1.5,2.15,6.0567,0.129847,228.468,234,WA*COMPTT+GA+PEX,4.19877E-12,2.68385E-12,4.19465E-12,2.68384E-12,2.01649E-13,1.3406E-12,0.402544,0.254339,1.80299304747176,0.077514677103718,2.01001588766219,1.92665899150618,0.048072902387565,0.499508167401932
NGC4593,0.009,60001149006,6.88,0.08,0.1,1,1.50018E-08,0,0,91.75,,,1.48,1.34,1.63,6.4015,0.204351,613.484,677,WA*COMPTT+GA+PEX,1.59182E-11,1.5122E-11,1.59052E-11,1.5122E-11,7.34664E-13,5.02304E-12,0.0285384,0.0271385,1.53887435516493,0.179549902152642,4.52931135527208,1.60841305724216,0.046190176797525,0.33216770268483
WKK1263,0.0244,60160510002,8.25,0,0,2,1.64147,0,0,143.128,,,0.73,0.67,0.81,6.39965,0.0420734,688.75,721,WA*COMPTT+GA+PEX,2.84472E-11,2.13504E-11,3.25753E-11,2.13647E-11,5.21829E-13,3.64103E-12,0.439659,0.288268,2.19716883171566,0.280093933463796,3.0001673645768,1.76258548214786,0.016019161757528,0.170422706614181
6dFJ1254564m265702,0.0591,60363001002,8.25,0,0,2,1.01686,0,0,16.59,,,3.76634,0.75065,5.79135,5.85,0.129922,272.157,310,WA*COMPTT+PO+PEX,5.13344E-12,4.09309E-12,5.55977E-12,4.0951E-12,1.70825E-39,8.10507E-39,0.457269,0.338626,1.46939930766927,0.032465753424658,2.63400024434085,1.81431352429227,3.07251918694478E-28,1.97921174086103E-27
